repository_path,class,live_candidates,sha256
supabase/migrations/20260707045848_partner_security_foundation.sql,BC,20260707092855:partner_security_foundation,b59c7d6c8410d73e86243fa88dc624848548667498510bf57e0a9e8304d2566a
supabase/migrations/20260707062836_supporter_entitlement_security.sql,BC,20260710030425:supporter_entitlement_security,30e1ffc1edab86ea6d4e03dd31a3ac6494ad8f4575378b7fbf7c7702c5e0e256
supabase/migrations/20260710013500_fix_profile_entitlement_guard_current_user.sql,BC,20260710030952:fix_profile_entitlement_guard_current_user,4ad0968045a9868e9fcc5b0249f9f16c4fd7683db1843e0691a1d3f5e479f0a4
supabase/migrations/20260720093000_partner_multi_categories.sql,BC,20260720132527:partner_multi_categories,37387e3227972c652aa0d704e9ad1ce90afe7b02a91c7264134a52d247c22e0b
supabase/migrations/20260720093100_partner_multi_categories_view_security_invoker.sql,BC,20260720132617:partner_multi_categories_view_security_invoker,c994c543ed0d420e26b34a2821a180383c9f7bdcf99cc9d8caa35718414d6fb1
supabase/migrations/20260810072829_wave1_partner_publication_consent.sql,BC,,4f7e99e2b8faab289e549df972b5932558667c75a4ed0cdf9c9bcd0f74682d63
supabase/migrations/20260811090000_hybrid_partner_lifecycle.sql,BC,,68549d90b3aab8005b9f6ddd6b254b905a32361e03f480b7ead19b0476689bad
supabase/migrations/20260811090100_hybrid_partner_claim_invite_qualification.sql,BC,,06e656a3d1aceade22a99be5bc65d65e5f1b33253ac9bf48452ce8c0a58b6d43
supabase/migrations/20260811090200_hybrid_partner_private_mutation_capabilities.sql,BC,,1691de6b811652f8fa34cd76b7383cb1df6a66b24d87dda9fb4cb001598cfbb8
supabase/migrations/20260811090300_hybrid_partner_capability_gate_hardening.sql,BC,,83a3cd9cdaf3d382932cfa2fb9b061f527e85f7148967af6f19187da866dfccf
supabase/migrations/20260811090400_hybrid_partner_owner_release_actor_cleanup.sql,BC,,b6f83c9d91992e8ccd55133fc72d6549d80071b2ae8182a47ecbc5d2e13aa8b3
supabase/migrations/20260811090500_hybrid_partner_agreement_evidence.sql,BC,,3e664e2c2d9a217f6155ad4af9d527870f231c645c495abed5a42dcabf13ea3a
supabase/migrations/20260811090600_hybrid_partner_context_authenticity.sql,BC,,25b45e414301052fb76df727626cb9aac2f42cc104670c9274ae76f8232a92d5
supabase/migrations/20260817154529_hybrid_partner_security_reconciliation.sql,BC,,233d8f6e93471e20b837a4af31be4a0d7a26bc14043e2e4c628dbbcd2747e203
supabase/migrations/20260817154927_hybrid_partner_claim_recipient_contract.sql,BC,,46fc9354ad01e7ebc18bd65da1f0de8eb23b318cb79a7f080a85b87a83414609
supabase/migrations/20260817171238_partner_publication_integration_rc.sql,BC,,653c98085a41ba8f32a666d398494ba783f25e5991c164daa30aaea74d34e760
